Title,Description,Price,PriceNumeric,Location,PropertyType,Floor,Bedrooms,Bathrooms,Area,UploadTime,SourceURL,SearchLocation,ExtractedAt,TitleHash,LocationHash,PriceHash
"Half Furnished Office For Rent In G-11 Markaz","Half Furnished Office For Rent In G-11 Markaz","Rs 35,000","35000","G-11 Markaz, Islamabad•","Office","","","","","1 week ago","https://www.olx.com.pk/islamabad_g4060615/q-Office-for-Rent?filter=price_max_120000","Islamabad","2025-09-05T11:16:29.897Z","9osvtt","je5285","nrpyp9"
"F10 Office For Rent","F10 Office For Rent","Rs 95,000","95000","F-10, Islamabad•","Office","","","","","1 week ago","https://www.olx.com.pk/islamabad_g4060615/q-Office-for-Rent?filter=price_max_120000","Islamabad","2025-09-05T11:16:29.897Z","t03li7","btqreb","nv0q9f"
"Office for rent in g-11 markaz Islamabad","Office for rent in g-11 markaz Islamabad","Rs 70,000","70000","G-11, Islamabad•","Office","","","","","2 weeks ago","https://www.olx.com.pk/islamabad_g4060615/q-Office-for-Rent?filter=price_max_120000","Islamabad","2025-09-05T11:16:29.897Z","tw87dc","cxw1bp","ntty52"
"Luxurious Brand New Offices For Rent In PWD Housing Sheme - Ideal For VariousBusinesses!","Luxurious Brand New Offices For Rent In PWD Housing Sheme - Ideal For VariousBusinesses!","Rs 12,500","12500","PWD Housing Scheme, Islamabad•","Office","","","","","2 weeks ago","https://www.olx.com.pk/islamabad_g4060615/q-Office-for-Rent?filter=price_max_120000","Islamabad","2025-09-05T11:16:29.897Z","bepw6u","hgsfu5","nqkk9f"
"Luxurious Brand New Offices For Rent In Pakistan Town - Ideal For VariousBusinesses","Luxurious Brand New Offices For Rent In Pakistan Town - Ideal For VariousBusinesses","Rs 12,500","12500","Pakistan Town, Islamabad•","Office","","","","","2 weeks ago","https://www.olx.com.pk/islamabad_g4060615/q-Office-for-Rent?filter=price_max_120000","Islamabad","2025-09-05T11:16:29.897Z","cjijqb","x53y1v","nqkk9f"
"Luxurious Brand New Offices for Rent in PWD Road - Ideal for VariousBusinesses","Luxurious Brand New Offices for Rent in PWD Road - Ideal for VariousBusinesses","Rs 12,500","12500","PWD Road, Islamabad•","Office","","","","","2 weeks ago","https://www.olx.com.pk/islamabad_g4060615/q-Office-for-Rent?filter=price_max_120000","Islamabad","2025-09-05T11:16:29.897Z","ytjy9","woipl7","nqkk9f"
"Office for rent in G-11 Markaz Islamabad","Office for rent in G-11 Markaz Islamabad","Rs 40,000","40000","G-11 Markaz, Islamabad•","Office","","","","","2 weeks ago","https://www.olx.com.pk/islamabad_g4060615/q-Office-for-Rent?filter=price_max_120000","Islamabad","2025-09-05T11:16:29.897Z","tw87dc","je5285","ns6kcz"
"BLUE AREA OFFICE FOR RENT","BLUE AREA OFFICE FOR RENT","Rs 1.20 Lac","120000","Blue Area, Islamabad•","Office","","","","","3 weeks ago","https://www.olx.com.pk/islamabad_g4060615/q-Office-for-Rent?filter=price_max_120000","Islamabad","2025-09-05T11:16:29.897Z","lmlvi7","exavh1","pkiz5s"
"Top City 1 Office For Rent All Facilities Available: Electricity Water Supply, Elevator Left Available","Top City 1 Office For Rent All Facilities Available: Electricity Water Supply, Elevator Left Available","Rs 25,000","25000","Top City 1 - Block A, Islamabad•","Office","","","","","3 weeks ago","https://www.olx.com.pk/islamabad_g4060615/q-Office-for-Rent?filter=price_max_120000","Islamabad","2025-09-05T11:16:29.897Z","z4vmdf","74pd0t","nr663w"
"300 Sqft Mezzanine Floor Office For Rent On Jinnah Avenue Blue Area, Islamabad","300 Sqft Mezzanine Floor Office For Rent On Jinnah Avenue Blue Area, Islamabad","Rs 1 Lac","100000","Blue Area, Islamabad•","Office","","","","","3 weeks ago","https://www.olx.com.pk/islamabad_g4060615/q-Office-for-Rent?filter=price_max_120000","Islamabad","2025-09-05T11:16:29.897Z","l7w5pe","exavh1","f9t7ya"
"300 Sq. Ft Fully Furnished Office For Rent On 2nd floor fazal e haq road In Blue Area, Islamabad 65k Rent Demand","300 Sq. Ft Fully Furnished Office For Rent On 2nd floor fazal e haq road In Blue Area, Islamabad 65k Rent Demand","Rs 75,000","75000","Blue Area, Islamabad•","Office","","","","","3 weeks ago","https://www.olx.com.pk/islamabad_g4060615/q-Office-for-Rent?filter=price_max_120000","Islamabad","2025-09-05T11:16:29.897Z","fwth8l","exavh1","ntx52p"
"I-8 Markaz 452 SQ/FT Office For Rent","I-8 Markaz 452 SQ/FT Office For Rent","Rs 80,000","80000","I-8 Markaz, Islamabad•","Office","","","","","3 weeks ago","https://www.olx.com.pk/islamabad_g4060615/q-Office-for-Rent?filter=price_max_120000","Islamabad","2025-09-05T11:16:29.897Z","x7h4f6","6jnoj","nudqqf"
"office for rent on main pwd road","office for rent on main pwd road","Rs 50,000","50000","National Police Foundation, Islamabad•","Office","","","","","3 weeks ago","https://www.olx.com.pk/islamabad_g4060615/q-Office-for-Rent?filter=price_max_120000","Islamabad","2025-09-05T11:16:29.897Z","ipxwsf","1d7czz","nsqcyc"
"Office for Rent – I & T Centre G-10/1 (Front of Building)","Office for Rent – I & T Centre G-10/1 (Front of Building)","Rs 1 Lac","100000","G-10/1, Islamabad•","Office","","","","","3 weeks ago","https://www.olx.com.pk/islamabad_g4060615/q-Office-for-Rent?filter=price_max_120000","Islamabad","2025-09-05T11:16:29.897Z","8qd7dv","u1oe55","f9t7ya"
"I-8 Markaz 355 SQ/FT Office For Rent","I-8 Markaz 355 SQ/FT Office For Rent","Rs 1.17 Lac","117000","I-8 Markaz, Islamabad•","Office","","","","","4 weeks ago","https://www.olx.com.pk/islamabad_g4060615/q-Office-for-Rent?filter=price_max_120000","Islamabad","2025-09-05T11:16:29.897Z","4vupic","6jnoj","pk3nh4"
