Title,Description,Price,PriceNumeric,Location,PropertyType,Floor,Bedrooms,Bathrooms,Area,UploadTime,SourceURL,SearchLocation,ExtractedAt,TitleHash,LocationHash,PriceHash
"Beautiful brand new office available for rent in Bahria paradise commercial","Beautiful brand new office available for rent in Bahria paradise commercial","Rs 70,000","70000","Bahria Paradise, Rawalpindi•","Office","","","","","6 days ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T11:11:42.090Z","3fiy7a","9c57i7","ntty52"
"Bahria Civic Center Open Space For Rent","Bahria Civic Center Open Space For Rent","Rs 90,000","90000","Bahria Town - Civic Centre, Rawalpindi•","Other","","","","","1 week ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T11:11:42.090Z","7cc7jw","wvv8ih","nuxjbs"
"Ground Floor Shop Available for Rent in Bahria Town Phase-7 Rawalpindi","Ground Floor Shop Available for Rent in Bahria Town Phase-7 Rawalpindi","Rs 90,000","90000","Bahria Town Phase 7, Rawalpindi•","Shop","","","","","1 week ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T11:11:42.090Z","100bap","m03x12","nuxjbs"
"3side corner hall available for rent bahria town phase 8 rawalpindi","3side corner hall available for rent bahria town phase 8 rawalpindi","Rs 1.10 Lac","110000.00000000001","Bahria Business District, Rawalpindi•","Hall","","","","","2 weeks ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T11:11:42.090Z","pe8kvc","1kbze","pjz6kf"
"Office Is Available For Rent OPPOSITE TMUC UNIVERSITY","Office Is Available For Rent OPPOSITE TMUC UNIVERSITY","Rs 36,000","36000","Bahria Spring North, Rawalpindi•","Office","","","","","2 weeks ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T11:11:42.090Z","netk05","psz9a6","nrqlos"
"Semi Furnished office space available for rent in bahria town phase 4 civic center","Semi Furnished office space available for rent in bahria town phase 4 civic center","Rs 35,000","35000","Bahria Town - Civic Centre, Rawalpindi•","Office","","","","","2 weeks ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T11:11:42.090Z","8wf3qn","wvv8ih","nrpyp9"
"Shop Available For Rent In Phase 7 Bahria Town Rawalpindi","Shop Available For Rent In Phase 7 Bahria Town Rawalpindi","Rs 40,000","40000","Bahria Town Phase 7, Rawalpindi•","Shop","","","","","2 weeks ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T11:11:42.090Z","muzb56","m03x12","ns6kcz"
"1500sft Hall In Civic Center Phase4 Bahria Town Rwp","1500sft Hall In Civic Center Phase4 Bahria Town Rwp","Rs 80,000","80000","Bahria Town - Civic Centre, Rawalpindi•","Hall","","","","","3 weeks ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T11:11:42.090Z","s772l7","wvv8ih","nudqqf"
"Fully Furnished Exactive Office","Fully Furnished Exactive Office","Rs 1.10 Lac","110000.00000000001","Bahria Square Commercial, Rawalpindi•","Office","","","","","4 weeks ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T11:11:42.090Z","4dpvc3","llorn3","pjz6kf"
"Office For Rent","Office For Rent","Rs 65,000","65000","G-11 Markaz, Islamabad•","Office","","","","","4 hours ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T11:11:42.090Z","bv8406","je5285","ntdchc"
"Office For Rent","Office For Rent","Rs 67,000","67000","G-11, Islamabad•","Office","","","","","4 hours ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T11:11:42.090Z","bv8406","cxw1bp","ntemge"
"Furnished office for rent in F11 markaz","Furnished office for rent in F11 markaz","Rs 95,000","95000","F-11, Islamabad•","Office","","","","","16 hours ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T11:11:42.090Z","ff60wd","f2qq6s","nv0q9f"
"Office for Rent G-11 Markaz, Islamabad | 425 Sq Ft","Office for Rent G-11 Markaz, Islamabad | 425 Sq Ft","Rs 70,000","70000","G-11 Markaz, Islamabad•","Office","","","","","19 hours ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T11:11:42.090Z","qjlo94","je5285","ntty52"
"1000 SQ, FT Office for Rent In DHA Phase 2","1000 SQ, FT Office for Rent In DHA Phase 2","Rs 60,000","60000","DHA Defence Phase 2, Islamabad•","Office","","","","","23 hours ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T11:11:42.091Z","700l9w","vzygu0","nta5jp"
"Office for rent available in E-11","Office for rent available in E-11","Rs 12,000","12000","E-11, Islamabad•","Office","","","","","1 day ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T11:11:42.091Z","3obtyb","h7lf1v","nqkgjy"
"Office For Rent in DHA Phase 2 3rd floor 1000 sq ft.","Office For Rent in DHA Phase 2 3rd floor 1000 sq ft.","Rs 60,000","60000","DHA Defence Phase 2, Islamabad•","Office","","","","","1 day ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T11:11:42.091Z","enm8u3","vzygu0","nta5jp"
"Brand New Studio Office For Rent In Faisal Town Islamabad","Brand New Studio Office For Rent In Faisal Town Islamabad","Rs 30,000","30000","Faisal Town - F-18, Islamabad•","Office","","","","","2 days ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T11:11:42.091Z","wfy0wk","s4u3c7","nrmrrm"
"Office For Rent At G-11 Markaz","Office For Rent At G-11 Markaz","Rs 65,000","65000","G-11, Islamabad•","Office","","","","","3 days ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T11:11:42.091Z","mz69ho","cxw1bp","ntdchc"
