Title,Description,Price,PriceNumeric,Location,PropertyType,Floor,Bedrooms,Bathrooms,Area,UploadTime,SourceURL,SearchLocation,ExtractedAt,TitleHash,LocationHash,PriceHash
"1000 SQ, FT Office for Rent In DHA Phase 2","1000 SQ, FT Office for Rent In DHA Phase 2","Rs 60,000","60000","DHA Defence Phase 2, Islamabad•","Office","","","","","23 hours ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T11:13:39.618Z","700l9w","vzygu0","nta5jp"
"Office for rent available in E-11","Office for rent available in E-11","Rs 12,000","12000","E-11, Islamabad•","Office","","","","","1 day ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T11:13:39.618Z","3obtyb","h7lf1v","nqkgjy"
"Office For Rent in DHA Phase 2 3rd floor 1000 sq ft.","Office For Rent in DHA Phase 2 3rd floor 1000 sq ft.","Rs 60,000","60000","DHA Defence Phase 2, Islamabad•","Office","","","","","1 day ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T11:13:39.618Z","enm8u3","vzygu0","nta5jp"
"Brand New Studio Office For Rent In Faisal Town Islamabad","Brand New Studio Office For Rent In Faisal Town Islamabad","Rs 30,000","30000","Faisal Town - F-18, Islamabad•","Office","","","","","2 days ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T11:13:39.618Z","wfy0wk","s4u3c7","nrmrrm"
"Office For Rent At G-11 Markaz","Office For Rent At G-11 Markaz","Rs 65,000","65000","G-11, Islamabad•","Office","","","","","3 days ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T11:13:39.618Z","mz69ho","cxw1bp","ntdchc"
"BLUE AREA OFFICE FOR RENT","BLUE AREA OFFICE FOR RENT","Rs 1.20 Lac","120000","Blue Area, Islamabad•","Office","","","","","3 days ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T11:13:39.618Z","lmlvi7","exavh1","pkiz5s"
"BRAND NEW OFFICE FOR RENT F-8 MARKAZ","BRAND NEW OFFICE FOR RENT F-8 MARKAZ","Rs 1.05 Lac","105000","F-8 Markaz, Islamabad•","Office","","","","","3 days ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T11:13:39.618Z","fqoid7","3pe0yi","pjikwp"
"Small Office For Rent,Best Option For Call Center, Software House,,","Small Office For Rent,Best Option For Call Center, Software House,,","Rs 20,000","20000","Aries Tower, Rawalpindi•","Office","","","","","4 days ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T11:13:39.618Z","8smwut","29tkyy","nr2z69"
"I-8 Markaz 450 SQ/FT office for rent","I-8 Markaz 450 SQ/FT office for rent","Rs 80,000","80000","I-8 Markaz, Islamabad•","Office","","","","","4 days ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T11:13:39.618Z","87oio","6jnoj","nudqqf"
"460 sq ft Studio Office For Rent for Call Center IT Offices etc","460 sq ft Studio Office For Rent for Call Center IT Offices etc","Rs 45,000","45000","Commercial Market, Rawalpindi•","Office","","","","","6 days ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T11:13:39.618Z","e6ih6a","3eidxv","ns9ram"
"OFFICE FOR RENT","OFFICE FOR RENT","Rs 32,000","32000","Chandni Chowk, Rawalpindi•","Office","","","","","1 week ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T11:13:39.618Z","bv8406","174914","nro1qo"
"Renovated Office For Rent","Renovated Office For Rent","Rs 85,000","85000","G-11, Islamabad•","Office","","","","","1 week ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T11:13:39.618Z","dljua6","cxw1bp","nugxo2"
"Half Furnished Office For Rent In G-11 Markaz","Half Furnished Office For Rent In G-11 Markaz","Rs 35,000","35000","G-11 Markaz, Islamabad•","Office","","","","","1 week ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T11:13:39.618Z","9osvtt","je5285","nrpyp9"
"F10 Office For Rent","F10 Office For Rent","Rs 95,000","95000","F-10, Islamabad•","Office","","","","","1 week ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T11:13:39.618Z","t03li7","btqreb","nv0q9f"
"Office For Rent 20 Seats","Office For Rent 20 Seats","Rs 80,000","80000","Jayson Mall, Rawalpindi•","Office","","","","","1 week ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T11:13:39.618Z","vkddvu","32fzjf","nudqqf"
"Office for rent in g-11 markaz Islamabad","Office for rent in g-11 markaz Islamabad","Rs 70,000","70000","G-11, Islamabad•","Office","","","","","2 weeks ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T11:13:39.618Z","tw87dc","cxw1bp","ntty52"
"Luxurious Brand New Offices For Rent In Pakistan Town - Ideal For VariousBusinesses","Luxurious Brand New Offices For Rent In Pakistan Town - Ideal For VariousBusinesses","Rs 12,500","12500","Pakistan Town, Islamabad•","Office","","","","","2 weeks ago","https://www.olx.com.pk/pwd-housing-scheme_g5001123/q-Office-for-Rent?filter=price_max_120000","PWD Islamabad","2025-09-05T11:13:39.618Z","cjijqb","x53y1v","nqkk9f"
