Title,Description,Price,PriceNumeric,Location,ContactNumber,PropertyType,Floor,Bedrooms,Bathrooms,Area,UploadTime,SourceURL,SearchLocation,ExtractedAt,TitleHash,LocationHash,PriceHash,ContactHash
"Need Male Roommate - Preferably Jobian/Doctor/Banker/ Govt officer","Need Male Roommate - Preferably Jobian/Doctor/Banker/ Govt officer","Rs 25,000","25000","I-8/3, Islamabad•","Not available","Office","","","","","4 weeks ago","https://www.olx.com.pk/i-8_g5001035/q-Office-for-Rent?filter=price_max_120000","Islamabad I-8 Markaz","2025-09-05T13:03:59.568Z","f5edla","a3ur1u","nr663w","rh65au"
"418 Sq Ft 1st Floor Office Available On Rent In I-8 Markaz Islamabad","418 Sq Ft 1st Floor Office Available On Rent In I-8 Markaz Islamabad","Rs 90,000","90000","I-8 Markaz, Islamabad•","Not available","Office","","","","","4 weeks ago","https://www.olx.com.pk/i-8_g5001035/q-Office-for-Rent?filter=price_max_120000","Islamabad I-8 Markaz","2025-09-05T13:03:59.568Z","gmdeqc","6jnoj","nuxjbs","rh65au"
"Dental space available for rent i-8 markaz","Dental space available for rent i-8 markaz","Rs 95,000","95000","I-8 Markaz, Islamabad•","Not available","Other","","","","","4 weeks ago","https://www.olx.com.pk/i-8_g5001035/q-Office-for-Rent?filter=price_max_120000","Islamabad I-8 Markaz","2025-09-05T13:03:59.568Z","jqy80u","6jnoj","nv0q9f","rh65au"
"Office For Rent","Office For Rent","Rs 65,000","65000","G-11 Markaz, Islamabad•","Not available","Office","","","","","5 hours ago","https://www.olx.com.pk/i-8_g5001035/q-Office-for-Rent?filter=price_max_120000","Islamabad I-8 Markaz","2025-09-05T13:03:59.568Z","bv8406","je5285","ntdchc","rh65au"
"Office For Rent","Office For Rent","Rs 67,000","67000","G-11, Islamabad•","Not available","Office","","","","","6 hours ago","https://www.olx.com.pk/i-8_g5001035/q-Office-for-Rent?filter=price_max_120000","Islamabad I-8 Markaz","2025-09-05T13:03:59.568Z","bv8406","cxw1bp","ntemge","rh65au"
"Furnished office for rent in F11 markaz","Furnished office for rent in F11 markaz","Rs 95,000","95000","F-11, Islamabad•","Not available","Office","","","","","18 hours ago","https://www.olx.com.pk/i-8_g5001035/q-Office-for-Rent?filter=price_max_120000","Islamabad I-8 Markaz","2025-09-05T13:03:59.568Z","ff60wd","f2qq6s","nv0q9f","rh65au"
"Office for Rent G-11 Markaz, Islamabad | 425 Sq Ft","Office for Rent G-11 Markaz, Islamabad | 425 Sq Ft","Rs 70,000","70000","G-11 Markaz, Islamabad•","Not available","Office","","","","","21 hours ago","https://www.olx.com.pk/i-8_g5001035/q-Office-for-Rent?filter=price_max_120000","Islamabad I-8 Markaz","2025-09-05T13:03:59.568Z","qjlo94","je5285","ntty52","rh65au"
"1000 SQ, FT Office for Rent In DHA Phase 2","1000 SQ, FT Office for Rent In DHA Phase 2","Rs 60,000","60000","DHA Defence Phase 2, Islamabad•","Not available","Office","","","","","1 day ago","https://www.olx.com.pk/i-8_g5001035/q-Office-for-Rent?filter=price_max_120000","Islamabad I-8 Markaz","2025-09-05T13:03:59.568Z","700l9w","vzygu0","nta5jp","rh65au"
"Office for rent available in E-11","Office for rent available in E-11","Rs 12,000","12000","E-11, Islamabad•","Not available","Office","","","","","1 day ago","https://www.olx.com.pk/i-8_g5001035/q-Office-for-Rent?filter=price_max_120000","Islamabad I-8 Markaz","2025-09-05T13:03:59.568Z","3obtyb","h7lf1v","nqkgjy","rh65au"
"Office For Rent in DHA Phase 2 3rd floor 1000 sq ft.","Office For Rent in DHA Phase 2 3rd floor 1000 sq ft.","Rs 60,000","60000","DHA Defence Phase 2, Islamabad•","Not available","Office","","","","","1 day ago","https://www.olx.com.pk/i-8_g5001035/q-Office-for-Rent?filter=price_max_120000","Islamabad I-8 Markaz","2025-09-05T13:03:59.568Z","enm8u3","vzygu0","nta5jp","rh65au"
"Brand New Studio Office For Rent In Faisal Town Islamabad","Brand New Studio Office For Rent In Faisal Town Islamabad","Rs 30,000","30000","Faisal Town - F-18, Islamabad•","Not available","Office","","","","","2 days ago","https://www.olx.com.pk/i-8_g5001035/q-Office-for-Rent?filter=price_max_120000","Islamabad I-8 Markaz","2025-09-05T13:03:59.568Z","wfy0wk","s4u3c7","nrmrrm","rh65au"
"Office For Rent At G-11 Markaz","Office For Rent At G-11 Markaz","Rs 65,000","65000","G-11, Islamabad•","Not available","Office","","","","","3 days ago","https://www.olx.com.pk/i-8_g5001035/q-Office-for-Rent?filter=price_max_120000","Islamabad I-8 Markaz","2025-09-05T13:03:59.568Z","mz69ho","cxw1bp","ntdchc","rh65au"
"BLUE AREA OFFICE FOR RENT","BLUE AREA OFFICE FOR RENT","Rs 1.20 Lac","120000","Blue Area, Islamabad•","Not available","Office","","","","","3 days ago","https://www.olx.com.pk/i-8_g5001035/q-Office-for-Rent?filter=price_max_120000","Islamabad I-8 Markaz","2025-09-05T13:03:59.568Z","lmlvi7","exavh1","pkiz5s","rh65au"
"BRAND NEW OFFICE FOR RENT F-8 MARKAZ","BRAND NEW OFFICE FOR RENT F-8 MARKAZ","Rs 1.05 Lac","105000","F-8 Markaz, Islamabad•","Not available","Office","","","","","3 days ago","https://www.olx.com.pk/i-8_g5001035/q-Office-for-Rent?filter=price_max_120000","Islamabad I-8 Markaz","2025-09-05T13:03:59.568Z","fqoid7","3pe0yi","pjikwp","rh65au"
"Small Office For Rent,Best Option For Call Center, Software House,,","Small Office For Rent,Best Option For Call Center, Software House,,","Rs 20,000","20000","Aries Tower, Rawalpindi•","Not available","Office","","","","","4 days ago","https://www.olx.com.pk/i-8_g5001035/q-Office-for-Rent?filter=price_max_120000","Islamabad I-8 Markaz","2025-09-05T13:03:59.568Z","8smwut","29tkyy","nr2z69","rh65au"
"460 sq ft Studio Office For Rent for Call Center IT Offices etc","460 sq ft Studio Office For Rent for Call Center IT Offices etc","Rs 45,000","45000","Commercial Market, Rawalpindi•","Not available","Office","","","","","6 days ago","https://www.olx.com.pk/i-8_g5001035/q-Office-for-Rent?filter=price_max_120000","Islamabad I-8 Markaz","2025-09-05T13:03:59.568Z","e6ih6a","3eidxv","ns9ram","rh65au"
"OFFICE FOR RENT","OFFICE FOR RENT","Rs 32,000","32000","Chandni Chowk, Rawalpindi•","Not available","Office","","","","","1 week ago","https://www.olx.com.pk/i-8_g5001035/q-Office-for-Rent?filter=price_max_120000","Islamabad I-8 Markaz","2025-09-05T13:03:59.568Z","bv8406","174914","nro1qo","rh65au"
"Renovated Office For Rent","Renovated Office For Rent","Rs 85,000","85000","G-11, Islamabad•","Not available","Office","","","","","1 week ago","https://www.olx.com.pk/i-8_g5001035/q-Office-for-Rent?filter=price_max_120000","Islamabad I-8 Markaz","2025-09-05T13:03:59.568Z","dljua6","cxw1bp","nugxo2","rh65au"
