Title,Description,Price,PriceNumeric,Location,ContactNumber,PropertyType,Floor,Bedrooms,Bathrooms,Area,UploadTime,SourceURL,SearchLocation,ExtractedAt,TitleHash,LocationHash,PriceHash,ContactHash
"Beautiful brand new office available for rent in Bahria paradise commercial","Beautiful brand new office available for rent in Bahria paradise commercial","Rs 70,000","70000","Bahria Paradise, Rawalpindi•","Not available","Office","","","","","1 week ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T12:56:26.588Z","3fiy7a","9c57i7","ntty52","rh65au"
"Bahria Civic Center Open Space For Rent","Bahria Civic Center Open Space For Rent","Rs 90,000","90000","Bahria Town - Civic Centre, Rawalpindi•","Not available","Other","","","","","1 week ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T12:56:26.588Z","7cc7jw","wvv8ih","nuxjbs","rh65au"
"Ground Floor Shop Available for Rent in Bahria Town Phase-7 Rawalpindi","Ground Floor Shop Available for Rent in Bahria Town Phase-7 Rawalpindi","Rs 90,000","90000","Bahria Town Phase 7, Rawalpindi•","Not available","Shop","","","","","1 week ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T12:56:26.588Z","100bap","m03x12","nuxjbs","rh65au"
"3side corner hall available for rent bahria town phase 8 rawalpindi","3side corner hall available for rent bahria town phase 8 rawalpindi","Rs 1.10 Lac","110000.00000000001","Bahria Business District, Rawalpindi•","Not available","Hall","","","","","2 weeks ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T12:56:26.588Z","pe8kvc","1kbze","pjz6kf","rh65au"
"Office Is Available For Rent OPPOSITE TMUC UNIVERSITY","Office Is Available For Rent OPPOSITE TMUC UNIVERSITY","Rs 36,000","36000","Bahria Spring North, Rawalpindi•","Not available","Office","","","","","2 weeks ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T12:56:26.588Z","netk05","psz9a6","nrqlos","rh65au"
"Semi Furnished office space available for rent in bahria town phase 4 civic center","Semi Furnished office space available for rent in bahria town phase 4 civic center","Rs 35,000","35000","Bahria Town - Civic Centre, Rawalpindi•","Not available","Office","","","","","2 weeks ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T12:56:26.588Z","8wf3qn","wvv8ih","nrpyp9","rh65au"
"Shop Available For Rent In Phase 7 Bahria Town Rawalpindi","Shop Available For Rent In Phase 7 Bahria Town Rawalpindi","Rs 40,000","40000","Bahria Town Phase 7, Rawalpindi•","Not available","Shop","","","","","2 weeks ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T12:56:26.588Z","muzb56","m03x12","ns6kcz","rh65au"
"1500sft Hall In Civic Center Phase4 Bahria Town Rwp","1500sft Hall In Civic Center Phase4 Bahria Town Rwp","Rs 80,000","80000","Bahria Town - Civic Centre, Rawalpindi•","Not available","Hall","","","","","3 weeks ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T12:56:26.588Z","s772l7","wvv8ih","nudqqf","rh65au"
"Fully Furnished Exactive Office","Fully Furnished Exactive Office","Rs 1.10 Lac","110000.00000000001","Bahria Square Commercial, Rawalpindi•","Not available","Office","","","","","4 weeks ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T12:56:26.588Z","4dpvc3","llorn3","pjz6kf","rh65au"
"Office For Rent","Office For Rent","Rs 65,000","65000","G-11 Markaz, Islamabad•","Not available","Office","","","","","5 hours ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T12:56:26.588Z","bv8406","je5285","ntdchc","rh65au"
"Office For Rent","Office For Rent","Rs 67,000","67000","G-11, Islamabad•","Not available","Office","","","","","6 hours ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T12:56:26.588Z","bv8406","cxw1bp","ntemge","rh65au"
"Furnished office for rent in F11 markaz","Furnished office for rent in F11 markaz","Rs 95,000","95000","F-11, Islamabad•","Not available","Office","","","","","18 hours ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T12:56:26.588Z","ff60wd","f2qq6s","nv0q9f","rh65au"
"Office for Rent G-11 Markaz, Islamabad | 425 Sq Ft","Office for Rent G-11 Markaz, Islamabad | 425 Sq Ft","Rs 70,000","70000","G-11 Markaz, Islamabad•","Not available","Office","","","","","20 hours ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T12:56:26.588Z","qjlo94","je5285","ntty52","rh65au"
"1000 SQ, FT Office for Rent In DHA Phase 2","1000 SQ, FT Office for Rent In DHA Phase 2","Rs 60,000","60000","DHA Defence Phase 2, Islamabad•","Not available","Office","","","","","1 day ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T12:56:26.588Z","700l9w","vzygu0","nta5jp","rh65au"
"Office for rent available in E-11","Office for rent available in E-11","Rs 12,000","12000","E-11, Islamabad•","Not available","Office","","","","","1 day ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T12:56:26.588Z","3obtyb","h7lf1v","nqkgjy","rh65au"
"Office For Rent in DHA Phase 2 3rd floor 1000 sq ft.","Office For Rent in DHA Phase 2 3rd floor 1000 sq ft.","Rs 60,000","60000","DHA Defence Phase 2, Islamabad•","Not available","Office","","","","","1 day ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T12:56:26.588Z","enm8u3","vzygu0","nta5jp","rh65au"
"Brand New Studio Office For Rent In Faisal Town Islamabad","Brand New Studio Office For Rent In Faisal Town Islamabad","Rs 30,000","30000","Faisal Town - F-18, Islamabad•","Not available","Office","","","","","2 days ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T12:56:26.588Z","wfy0wk","s4u3c7","nrmrrm","rh65au"
"Office For Rent At G-11 Markaz","Office For Rent At G-11 Markaz","Rs 65,000","65000","G-11, Islamabad•","Not available","Office","","","","","3 days ago","https://www.olx.com.pk/bahria-town-rawalpindi_g5001213/q-Office-for-Rent?filter=price_max_120000","Bahria Town Rawalpindi","2025-09-05T12:56:26.588Z","mz69ho","cxw1bp","ntdchc","rh65au"
